source_id,title,year,authors,doi
payne1996,"Song traditions in indigo buntings: Origin, improvisation, dispersal, and extinction in cultural evolution",1996,"Payne, Robert B.",10.7591/9781501736957-018
ologhlen1995,CULTURALLY CORRECT SONG DIALECTS ARE CORRELATED WITH MALE AGE AND FEMALE SONG PREFERENCES IN WILD POPULATIONS OF BROWN-HEADED COWBIRDS,1995,"O'Loghlen, AL and Rothstein, SI",10.1007/BF00165834
terkel1995,CULTURAL TRANSMISSION IN THE BLACK RAT - PINE-CONE FEEDING,1995,"Terkel, Joseph",10.1016/S0065-3454(08)60393-9
baker1987,"FOUNDER EFFECT AND CULTURAL-EVOLUTION OF SONGS IN AN ISOLATED POPULATION OF CHAFFINCHES, FRINGILLA-COELEBS, IN THE CHATHAM ISLANDS",1987,"Baker, Allan J. and Jenkins, Peter F.",10.1016/S0003-3472(87)80072-6
holzhaider2011,The social structure of New Caledonian crows,2011,"Holzhaider, Jenny. C., Sibley, M. D., Taylor, A. H., Singh, P. J., Gray, Russell. D., & Hunt, Gavin. R",10.1016/j.anbehav.2010.09.015
bluff2010,Vocal culture in New Caledonian crows Corvus moneduloides.,2010,"Bluff, L. A., Kacelnik, A., & Rutz, C.",10.1111/j.1095-8312.2010.01527.x
rutzstclair2012,The evolutionary origins and ecological context of tool use in New Caledonian crows,2012,"Rutz, C., & St Clair, J. J. H.",10.1016/j.beproc.2011.11.005
huntgray2003,Diversification and cumulative evolution in New Caledonian crow tool manufacture,2003,"Hunt, Gavin R. and Gray, Russell D.",10.1098/rspb.2002.2302
singletonvanschaik2001,The Social Organisation of a Population of Sumatran Orang-Utans,2001,"Singleton, Ian and van Schaik, Carel P.",10.1159/000060415
whitehead2024,Sperm whale clans and human societies,2024,"Whitehead, Hal",10.1098/rsos.231353
schupplivanschaik2019,Animal cultures: how we've only seen the tip of the iceberg,2019,"Schuppli, Caroline and Van Schaik, Carel",10.1017/ehs.2019.1
vanschaikknott2001,Geographic variation in tool use on Neesia fruits in orangutans,2001,"Van Schaik, Carel and Knott, Cheryl D.",10.1002/ajpa.1045
recalde2024,A densely sampled and richly annotated acoustic data set from a wild bird population,2024,"Recalde, Nilo Merino and Estandia, Andrea and Pichot, Loanne and Vansse, Antoine and Cole, Ella F. and Sheldon, Ben C.",10.1016/j.anbehav.2024.02.008
cornell2012,Social learning spreads knowledge about dangerous humans among American crows,2012,"Cornell, Heather N. and Marzluff, John M. and Pecoraro, Shannon",10.1098/rspb.2011.0957
yoktan2011,Vocal dialect and genetic subdivisions along a geographic gradient in the orange-tufted sunbird,2011,"Yoktan, Kinneret and Geffen, Eli and Ilany, Amiyaal and Yom-Tov, Yoram and Naor, Adit and Leader, Noam",10.1007/s00265-011-1149-7
berger2014,The effect of intruders on territorial Palestine Sunbirds (Nectarinia osea) during the pre-egg laying period,2014,"Berger, I., Leshem, Y., Yom-Tov, Y., & Markman, S.",10.1007/s10336-013-1017-5
burnhamduffus2020,Maternal behaviors of gray whales (Eschrichtius robustus) on a summer foraging site,2020,"Rianna E. Burnham, David A. Duffus",10.1111/mms.12710
luncz2012,Evidence for Cultural Differences between Neighboring Chimpanzee Communities,2012,"Luncz, Lydia V. and Mundry, Roger and Boesch, Christophe",10.1016/j.cub.2012.03.031
lunczboesch2014,Tradition over trend: Neighboring chimpanzee communities maintain differences in cultural behavior despite frequent immigration of adult females,2014,"Luncz, Lydia V. and Boesch, Christophe",10.1002/ajp.22259
boesch2019,Learning curves and teaching when acquiring nut-cracking in humans and chimpanzees,2019,"Boesch, C., Bombjaková, D., Meier, A., & Mundry, R.",10.1038/s41598-018-38392-8
allen2013,Network-Based Diffusion Analysis Reveals Cultural Transmission of Lobtail Feeding in Humpback Whales,2013,"Allen, Jenny and Weinrich, Mason and Hoppitt, Will and Rendell, Luke",10.1126/science.1231976
ohashimatsuzawa2011,Deactivation of snares by wild chimpanzees,2011,"Ohashi, Gaku and Matsuzawa, Tetsuro",10.1007/s10329-010-0212-8
sugiyama2004,"Demographic parameters and life history of chimpanzees at Bossou, Guinea",2004,"Sugiyama, Yukimaru",10.1002/ajpa.10345
moebius2008,Cultural differences in army ant predation by West African chimpanzees?: A comparative study of microecological variables,2008,"Moebius, Yasmin and Boesch, Christophe and Koops, Kathelijne and Matsuzawa, Tetsuro and Humle, Tatyana",10.1016/j.anbehav.2008.01.008
humle2009,"Social influences on ant-dipping acquisition in the wild chimpanzees (Pan troglodytes verus) of Bossou, Guinea, West Africa",2009,"Humle, Tatyana, Charles T. Snowdon, and Tetsuro Matsuzawa",10.1007/s10071-009-0272-6
pascualgarrido2019,"Cultural variation between neighbouring communities of chimpanzees at Gombe, Tanzania",2019,"Pascual-Garrido, Alejandra",10.1038/s41598-019-44703-4
lonsdorf2005,"Sex differences in the development of termite-fishing skills in the wild chimpanzees, Pan troglodytes schweinfurthii, of Gombe National Park, Tanzania",2005,"Lonsdorf, Elizabeth",10.1016/j.anbehav.2004.12.014
fornuskova2014,Strong matrilineal structure in common pipistrelle bats (<i>Pipistrellus pipistrellus</i>) is associated with variability in echolocation calls,2014,"Fornuskova, Alena and Petit, Eric J. and Bartonicka, Tomas and Kanuch, Peter and Butet, Alain and Rehak, Zdenek and Bryja, Josef",10.1111/bij.12381
sztencelbogdanowicz2012,Population genetics study of common ( <i>Pipistrellus pipistrellus</i> ) and soprano ( <i>Pipistrellus pygmaeus</i> ) pipistrelle bats from central Europe suggests interspecific hybridization,2012,"Sztencel-Jabłonka, Anna, and Wiesław Bogdanowicz",10.1139/z2012-092
santorelli2011,Universal Behaviors as Candidate Traditions in Wild Spider Monkeys,2011,"Santorelli, Claire J. and Schaffner, Colleen M. and Aureli, Filippo",10.1371/journal.pone.0024400
hohmannfruth2003,Culture in Bonobos? Between-species and within-species variation in behavior,2003,"Hohmann, G and Fruth, B",10.1086/377649
moore2005,Reproductive asynchrony and population divergence between two tropical bird populations,2005,"Moore, IT and Bonier, F and Wingfield, JC",10.1093/beheco/ari049
danner2011,"Female, but Not Male, Tropical Sparrows Respond More Strongly to the Local Song Dialect: Implications for Population Divergence",2011,"Danner, Julie E., Raymond M. Danner, Frances Bonier, Paul R. Martin, Thomas W. Small, and Ignacio T. Moore.",10.1086/660283.
danner2017,Genetic population structure in an equatorial sparrow: roles for culture and geography,2017,"Danner, J. E. and Fleischer, R. C. and Danner, R. M. and Moore, I. T.",10.1111/jeb.13065
fearnbach2014,"Spatial and social connectivity of fish-eating ""Resident"" killer whales (<i>Orcinus orca</i>) in the northern North Pacific",2014,"Fearnbach, Holly and Durban, John W. and Ellifrit, David K. and Waite, Janice M. and Matkin, Craig O. and Lunsford, Chris R. and Peterson, Megan J. and Barlow, Jay and Wade, Paul R.",10.1007/s00227-013-2351-0
morganabwe2006,Chimpanzees use stone hammers in Cameroon,2006,"Morgan, Bethan J. and Abwe, Ekwoge E.",10.1016/j.cub.2006.07.045
sunghandford2006,Songs of the Savannah Sparrow: structure and geographic variation,2006,"Sung, Ha-Cheol and Handford, Paul",10.1139/Z06-159
mann2007,Calf inspections of fish catches in bottlenose dolphins (<i>Tursiops</i> sp.):: Opportunities for oblique social learning?,2007,"Mann, Janet and Sargeant, Brooke L. and Minor, Matthew",10.1111/j.1748-7692.2006.00087.x
baker2003,Rapid evolution of a novel song and an increase in repertoire size in an island population of an Australian songbird,2003,"Baker, MC and Baker, MSA and Baker, EM",10.1046/j.1474-919X.2003.00190.x
gonzalez2014,Acoustic Divergence with Gene Flow in a Lekking Hummingbird with Complex Songs,2014,"Gonzalez, Clementina and Francisco Ornelas, Juan",10.1371/journal.pone.0109241
yamakoshi2011,Pestle-Pounding Behavior: The Key to the Coexistence of Humans and Chimpanzees,2011,"Yamakoshi, Gen",10.1007/978-4-431-53921-6_11
robin2011,Singing in the sky: song variation in an endemic bird on the sky islands of southern India,2011,"Robin, V. V. and Katti, Madhusudan and Purushotham, Chetana and Sancheti, Aditi and Sinha, Anindya",10.1016/j.anbehav.2011.05.032
estok2010,"Great tits search for, capture, kill and eat hibernating bats",2010,"Estok, Peter and Zsebok, Sandor and Siemers, Bjoern M.",10.1098/rsbl.2009.0611
foote2008,Variation in call pitch among killer whale ecotypes,2008,"Foote, Andrew D. and Nystuen, Jeffrey A.",10.1121/1.2836752
parsons2009,The social dynamics of southern resident killer whales and conservation implications for this endangered population,2009,"Parsons, K. M. and Balcomb, K. C., III and Ford, J. K. B. and Durban, J. W.",10.1016/j.anbehav.2009.01.018
giles2024,"Harassment and killing of porpoises (""phocoenacide"") by fish-eating Southern Resident killer whales (<i>Orcinus orca</i>)",2024,"Giles, Deborah A. and Teman, Sarah J. and Ellis, Samuel and Ford, John K. B. and Shields, Monika W. and Hanson, M. Bradley and Emmons, Candice K. and Cottrell, Paul E. and Baird, Robin W. and Osborne, Richard W. and Weiss, Michael and Ellifrit, David K. and Olson, Jennifer K. and Towers, Jared R. and Ellis, Graeme and Matkin, Dena and Smith, Courtney E. and Raverty, Stephen A. and Norman, Stephanie A. and Gaydos, Joseph K.",10.1111/mms.13073
souhat2021,Stereotyped Whistles in Southern Resident Killer Whales,2021,"Souhaut, Marie, and Monika W. Shields.",10.7717/peerj.12085.
riesch2006,"Stability and group specificity of stereotyped whistles in resident killer whales, Orcinus orca, off British Columbia",2006,"Riesch, Rüdiger, John K.B. Ford, and Frank Thomsen",10.1016/j.anbehav.2005.03.026
riesch2011,Whistle communication in mammal-eating killer whales (Orcinus orca): further evidence for acoustic divergence between ecotypes,2011,"Riesch, Rüdiger, and Volker B. Deecke",10.1007/s00265-011-1148-8.
deecke2005,The Vocal Behaviour of Mammal-Eating Killer Whales: Communicating with Costly Calls,2005,"Deecke, Volker B., John K.B. Ford, and Peter J.B. Slater",10.1016/j.anbehav.2004.04.014.
peterson2023,Unsupervised discovery of family specific vocal usage in the Mongolian gerbil,2024,"Peterson, Ralph E and Choudhri, Aman and MItelut, Catalin and Tanelus, Aramis and Capo-Battaglia, Athena and Williams, Alex H and Schneider, David M and Sanes, Dan H",10.7554/eLife.89892
trainer1989,Cultural Evolution in Song Dialects of Yellow‐rumped Caciques in Panama,1989,"Trainer, Jill M.",10.1111/j.1439-0310.1989.tb00739.x
noske2003,"Sexual differences in the foraging behaviour of Crested Shrike-tits, <i>Falcunculus frontatus</i>, during winter",2003,"Noske, Richard A.",10.1071/MU03021
jenkins1978,CULTURAL TRANSMISSION OF SONG PATTERNS AND DIALECT DEVELOPMENT IN A FREE-LIVING BIRD POPULATION,1978,"JENKINS, PF",10.1016/0003-3472(78)90007-6
madden2004,Local traditions of bower decoration by spotted bowerbirds in a single population,2004,"Madden, JR and Lowe, TJ and Fuller, HV and Dasmahapatra, KK and Coe, RL",10.1016/j.anbehav.2003.12.007
cerchio2001,"Temporal and geographical variation in songs of humpback whales, <i>Megaptera novaeangliae</i>:: synchronous change in Hawaiian and Mexican breeding assemblages",2001,"Cerchio, S and Jacobsen, JK and Norris, TF",10.1006/anbe.2001.1747
darling2019,"Convergence and Divergence of Songs Suggests Ongoing, but Annually Variable, Mixing of Humpback Whale Populations throughout the North Pacific",2019,"Darling, James D., Jo Marie V. Acebes, Oscar Frey, R. Jorge Urbán, and Manami Yamaguchi.",10.1038/s41598-019-42233-7
enggist2002,"Cultural transmission of vocalizations in ravens, <i>Corvus corax</i>",2002,"Enggist-Dueblin, P and Pfister, U",10.1006/anbe.2002.2016
szipl2017,Calls during Agonistic Interactions Vary with Arousal and Raise Audience Attention in Ravens,2017,"Szipl, Georgine, Eva Ringler, Michela Spreafico, and Thomas Bugnyar.",10.1186/s12983-017-0244-7
castellote2011,Fin whale (Balaenoptera physalus) population identity in the western Mediterranean Sea,2011,"Manuel Castellote, Christopher W. Clark, Marc O. Lammers",10.1111/j.1748-7692.2011.00491.x
palacin2011,"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard <i>Otis tarda</i>",2011,"Palacin, Carlos and Alonso, Juan Carlos and Alonso, Javier A. and Magana, Marina and Martin, Carlos A.",10.1111/j.1600-048X.2011.05395.x
vanleeuwen2012,Neighbouring chimpanzee communities show different preferences in social grooming behaviour,2012,"Edwin J. C. van Leeuwen, Katherine A. Cronin, Daniel B. M. Haun, Roger Mundry, and Mark D. Bodamer",10.1098/rspb.2012.1543
colbeck2013,Groups of related belugas ( <i>Delphinapterus leucas</i> ) travel together during their seasonal migrations in and around Hudson Bay,2013,"Gabriel J. Colbeck, Pierre Duchesne, Lianne D. Postma, Véronique Lesage, Mike O. Hammill and Julie Turgeon",10.1098/rspb.2012.2552
luther2010,Urban noise and the cultural evolution of bird songs,2010,"Luther, David and Baptista, Luis",10.1098/rspb.2009.1571
bell1998,Song learning and vocal tradition in Nuttall's white-crowned sparrows,1998,"Bell, DA and Trail, PW and Baptista, LF",10.1006/anbe.1997.0644
pardo2024,Female African elephant rumbles differ between populations and sympatric social groups,2024,"Michael A. Pardo, David S. Lolchuragi, Joyce Poole, Petter Granli, Cynthia Moss, Iain Douglas-Hamilton and George Wittemyer",10.1098/rsos.241264
mccomb2000,Unusually extensive networks of vocal recognition in African elephants,2000,"McComb, Karen, Cynthia Moss, Soila Sayialel, and Lucy Baker",10.1006/anbe.2000.1406
cantor2015,Multilevel animal societies can emerge from cultural transmission,2015,"Cantor, Mauricio and Shoemaker, Lauren G. and Cabral, Reniel B. and Flores, Cesar O. and Varga, Melinda and Whitehead, Hal",10.1038/ncomms9091
yoshino2008,Genetic and acoustic population structuring in the Okinawa least horseshoe bat: are intercolony acoustic differences maintained by vertical maternal transmission?,2008,"Yoshino, Hajime and Armstrong, Kyle N. and Izawa, Masako and Yokoyama, Jun and Kawata, Masakado",10.1111/j.1365-294X.2008.03975.x
chen2009,Determinants of echolocation call frequency variation in the Formosan lesser horseshoe bat (<i>Rhinolophus monoceros</i>),2009,"Chen, Shiang-Fan and Jones, Gareth and Rossiter, Stephen J.",10.1098/rspb.2009.1185
mannu2009,"The Enhanced Tool-Kit of Two Groups of Wild Bearded Capuchin Monkeys in the Caatinga: Tool Making, Associative Use, and Secondary Tools",2009,"Mannu, Massimo and Ottoni, Eduardo B.",10.1002/ajp.20642
jiang2010,"Geographical and individual variation in echolocation calls of the intermediate leaf-nosed bat, <i>Hipposideros larvatus</i>",2010,"Jiang, Tinglei and Liu, Rong and Metzner, Walter and You, Yuyan and Li, Shi and Liu, Sen and Feng, Jiang",10.1111/j.1439-0310.2010.01785.x
seibt2002,"Structure, geography and origin of dialects in the traditive song of the forest weaver Ploceus bicolor sclateri in Natal, S. Africa",2002,"Seibt, U and Wickler, W and Kleindienst, HU and Sonnenschein, E",10.1163/15685390260437362
schakner2014,Using Models of Social Transmission to Examine the Spread of Longline Depredation Behavior among Sperm Whales in the Gulf of Alaska,2014,"Schakner, Zachary Adam and Chris Lunsford, Janice Straley, Tomoharu Eguchi, Sarah L. Mesnick",10.1371/journal.pone.0109079
fiore2020,"Food Cleaning by Japanese Macaques: Innate, Innovative or Cultural?",2020,"Fiore, Angela M., Katherine A. Cronin, Stephen R. Ross, and Lydia Meriel Hopper",10.1159/000506127
crockford2004,Wild Chimpanzees Produce Group-Specific Calls: a Case for Vocal Learning?,2004,"Catherine Crockford, Ilka Herbinger, Linda Vigilant, Christophe Boesch",10.1111/j.1439-0310.2004.00968.x
robbins2016,Behavioral Variation in Gorillas: Evidence of Potential Cultural Traits,2016,"Martha M. Robbins ,Chieko Ando,Katherine A. Fawcett,Cyril C. Grueter,Daniela Hedwig,Yuji Iwata,Jessica L. Lodwick,Shelly Masi,Roberta Salmi,Tara S. Stoinski,Angelique Todd,Veronica Vercellio,Juichi Yamagiwa",10.1371/journal.pone.0160483
arrondo2023,Vulture Culture: Dietary Specialization of an Obligate Scavenger,2023,"Arrondo, Eneko, Esther Sebastián-González, Marcos Moleón, Zebensui Morales-Reyes, José María Gil-Sánchez, Ainara Cortés-Avizanda, Olga Ceballos, José Antonio Donázar, and José Antonio Sánchez-Zapata",10.1098/rspb.2022.1951
santos2010,"Guiana Dolphins (Sotalia Guianensis) Displaying Beach Hunting Behavior in the Cananéia Estuary, Brazil: Social Context and Conservation Issues",2010,"Santos, Marcos César de Oliveira",https://www.scielo.br/j/bjoce/a/DTgvyddtbVj5Rv5JL9JLSzD/?lang=en
